"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:13:41.9757123 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.Windows.CloudExperienceHost_cw5n1h2txyewy%5Cresources.pri\1d4de0e646906d2\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktopƞ"
"12:13:41.9792627 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.Windows.CloudExperienceHost_cw5n1h2txyewy%5Cresources.pri\1d4de0e646906d2\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktopƞ"
"12:13:41.9917740 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.AAD.BrokerPlugin_cw5n1h2txyewy%5Cresources.pri\1d4de0e681b9f9f\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktop鿮ƞ"
"12:13:41.9946434 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.AAD.BrokerPlugin_cw5n1h2txyewy%5Cresources.pri\1d4de0e681b9f9f\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktop몲ƞ"
"12:13:42.0040481 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.Windows.CloudExperienceHost_cw5n1h2txyewy%5Cresources.pri\1d4de0e646906d2\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktopƞ"
"12:13:42.0082303 AM","svchost.exe","856","RegSetValue","HKCU\Software\Classes\Local Settings\MrtCache\C:%5CWindows%5CSystemApps%5CMicrosoft.Windows.CloudExperienceHost_cw5n1h2txyewy%5Cresources.pri\1d4de0e646906d2\a01460c8\LanguageList","SUCCESS","Type: REG_MULTI_SZ, Length: 84, Data: _en-US;en_standard_100_US_LTR_dark_Desktopƞ"
"12:13:42.0353682 AM","SearchUI.exe","656","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Search\CortanaAppOverride\IsAppSignedIn","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:13:42.0358641 AM","SearchUI.exe","656","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Search\CortanaAppOverride\AccountUserName","SUCCESS","Type: REG_SZ, Length: 2, Data: "
"12:13:42.0885246 AM","svchost.exe","660","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2047949552-857980807-821054962-504\Microsoft.Windows.Cortana_cw5n1h2txyewy","SUCCESS","Type: REG_BINARY, Length: 24, Data: 37 80 0F FE 5C 40 D5 01 00 00 00 00 00 00 00 00"
"12:13:42.1911524 AM","SearchUI.exe","656","RegSetValue","\REGISTRY\A\{4cc719af-3313-8577-b7e6-2a313b067640}\LocalState\BINGIDENTITY_PROP_AUTHORITY","SUCCESS","Type: <Unknown: 100000012>, Length: 22"
